id;state;district;tehsil;village;center_type;center_identification_number
1;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Warehouse;Outdoors
2;Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;ColdStorage;monitor Adaptive
3;Inlet;systematic;program;Gorgeous Steel Salad Associate;Godown;Usability
4;open-source Generic methodologies;XSS Investment Account Investor;Fish Associate Intuitive;quantifying Phased connecting;Godown;green lavender
5;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;ColdStorage;Savings Account
6;Antigua and Barbuda Personal Loan Account Utah;Trail;didactic Granite;Tasty Fresh Pizza Jewelery monitoring;ColdStorage;neutral
7;Sleek Granite Car Integration Handcrafted;Tasty backing up Cambridgeshire;Borders Internal;open-source Ouguiya;ColdStorage;SMTP Synchronised Pizza
8;array;Quality-focused Quality Generic;override Salad XSS;Burg SAS Music;Warehouse;synthesizing Bedfordshire
9;black;Money Market Account;New York Concrete expedite;Solomon Islands;ColdStorage;copying benchmark Sausages
10;Licensed Directives Baht;Paradigm;application;hard drive;Godown;JBOD Technician Architect
